"","x"
"5229",17.6
"5230",17.6
"5231",17.6
"5232",17.6
"5233",17.6
"5234",17.6
"5235",17.6
"5236",17.6
"5237",17.5
"5238",17.5
"5239",17.5
"5240",17.5
"5241",17.5
"5242",17.5
"5243",17.5
"5244",17.5
"5245",17.5
"5246",17.4
"5247",17.4
"5248",17.4
"5249",17.4
"5250",17.4
"5251",17.4
"5252",17.4
"5253",17.4
"5254",17.3
"5255",17.3
"5256",17.3
"5257",17.3
"5258",17.3
"5259",17.3
"5260",17.3
"5261",17.3
"5262",17.3
"5263",17.2
"5264",17.2
"5265",17.2
"5266",17.2
"5267",17.2
"5268",17.2
"5269",17.2
"5270",17.2
"5271",17.1
"5272",17.1
"5273",17.1
"5274",17.1
"5275",17.1
"5276",17.1
"5277",17.1
"5278",17.1
"5279",17
"5280",17
"5281",17
"5282",17
"5283",17
"5284",17
"5285",17
"5286",17
"5287",17
"5288",17
"5289",17
"5290",17
"5291",17
"5292",17
"5293",17
"5294",17
"5295",17
"5296",17
"5297",18.5
"5298",18.5
"5299",18.5
"5300",18.5
"5301",18.5
"5302",18.5
"5303",18.5
"5304",18
"5305",18
"5306",18
"5307",18
"5308",18
"5309",18
"5310",18
"5311",17.5
"5312",17.5
"5313",17.5
"5314",17.5
"5315",17.5
"5316",17.5
"5317",17.5
"5318",17.5
"5319",17
"5320",17.5
"5321",17.5
"5322",17
"5323",17
"5324",17
"5325",17
"5326",17
"5327",17
"5328",17
"5329",17
"5330",17
"5331",17
"5332",17
"5333",17
"5334",17
"5335",17
"5336",17
"5337",16.5
"5338",17
"5339",16.5
"5340",17
"5341",16.5
"5342",16.5
"5343",16.5
"5344",16.5
"5345",16.5
"5346",16.5
"5347",16.5
"5348",16.5
"5349",16.5
"5350",16.5
"5351",16.5
"5352",17
"5353",19
"5354",21
"5355",22
"5356",22
"5357",21
"5358",20.5
"5359",20
"5360",20
"5361",19.5
"5362",19.5
"5363",19
"5364",19
"5365",19.5
"5366",21.5
"5367",23
"5368",22
"5369",22
"5370",22.5
"5371",22.5
"5372",22
"5373",22
"5374",22
"5375",22
"5376",21.5
"5377",21.5
"5378",21.5
"5379",21.5
"5380",21
"5381",21.5
"5382",21.5
"5383",21.5
"5384",21.5
"5385",21.5
"5386",21.5
"5387",21.5
"5388",22
"5389",21.5
"5390",21.5
"5391",21.5
"5392",21.5
"5393",21.5
"5394",21.5
"5395",21.5
"5396",21
"5397",21
"5398",21
"5399",21
"5400",21
"5401",21
"5402",20.5
"5403",20.5
"5404",20.5
"5405",20.5
"5406",20.5
"5407",20
"5408",20
"5409",20
"5410",20
"5411",20
"5412",20
"5413",19.5
"5414",19.5
"5415",19.5
"5416",19.5
"5417",19.5
"5418",19.5
"5419",19
"5420",19
"5421",19
"5422",19
"5423",19
"5424",19
"5425",19
"5426",19
"5427",18.5
"5428",19
"5429",18.5
"5430",18.5
"5431",18.5
"5432",18.5
"5433",18.5
"5434",18
"5435",18
"5436",18
"5437",18
"5438",18
"5439",18
"5440",18
"5441",18
"5442",18
"5443",18
"5444",18
"5445",18
"5446",17.5
"5447",17.5
"5448",18.5
"5449",20
"5450",21.5
"5451",23.5
"5452",23
"5453",22
"5454",21.5
"5455",21.5
"5456",21
"5457",21
"5458",21
"5459",21
"5460",21
"5461",21
"5462",21.5
"5463",21.5
"5464",22
"5465",22
"5466",22.5
"5467",22.5
"5468",23
"5469",23
"5470",23.5
"5471",23.5
"5472",23.5
"5473",23.5
"5474",23.5
"5475",24
"5476",24
"5477",24
"5478",24
"5479",23.5
"5480",23.5
"5481",23.5
"5482",23
"5483",23
"5484",23
"5485",23
"5486",22.5
"5487",22.5
"5488",22.5
"5489",22
"5490",22
"5491",21.5
"5492",21.5
"5493",21
"5494",21
"5495",21
"5496",21
"5497",21
"5498",21
"5499",21
"5500",21
"5501",21
"5502",21
"5503",21
"5504",21
"5505",21
"5506",20.5
"5507",20.5
"5508",20.5
"5509",20.5
"5510",20.5
"5511",20.5
"5512",20.5
"5513",20.5
"5514",20.5
"5515",20.5
"5516",20
"5517",20
"5518",20
"5519",20
"5520",20
"5521",20
"5522",20
"5523",20
"5524",20
"5525",19.5
"5526",19.5
"5527",19.5
"5528",19.5
"5529",19.5
"5530",19.5
"5531",19.5
"5532",19.5
"5533",19
"5534",19
"5535",19
"5536",19
"5537",19
"5538",19
"5539",19
"5540",19
"5541",19
"5542",19
"5543",19
"5544",19.5
"5545",21.5
"5546",23
"5547",22
"5548",21.5
"5549",21.5
"5550",21.5
"5551",21
"5552",21
"5553",21.5
"5554",21.5
"5555",21.5
"5556",21.5
"5557",21.5
"5558",21.5
"5559",21.5
"5560",21.5
"5561",22
"5562",22
"5563",22.5
"5564",22.5
"5565",22.5
"5566",22.5
"5567",23
"5568",23
"5569",23
"5570",23
"5571",23
"5572",23
"5573",23.5
"5574",23.5
"5575",23.5
"5576",23.5
"5577",23.5
"5578",23.5
"5579",23.5
"5580",23.5
"5581",23.5
"5582",23.5
"5583",23
"5584",23
"5585",23
"5586",22.5
"5587",22.5
"5588",22.5
"5589",22
"5590",22
"5591",22
"5592",22
"5593",22
"5594",21.5
"5595",21.5
"5596",21.5
"5597",21.5
"5598",21.5
"5599",21.5
"5600",21.5
"5601",21.5
"5602",21
"5603",21
"5604",21
"5605",21
"5606",21
"5607",21
"5608",20.5
"5609",20.5
"5610",20.5
"5611",20.5
"5612",20.5
"5613",20
"5614",20
"5615",20
"5616",20
"5617",20
"5618",20
"5619",20
"5620",19.5
"5621",19.5
"5622",19.5
"5623",19.5
"5624",19.5
"5625",19.5
"5626",19.5
"5627",19.5
"5628",19
"5629",19.5
"5630",19
"5631",19
"5632",19
"5633",19
"5634",19
"5635",19
"5636",19
"5637",18.5
"5638",18.5
"5639",18.5
"5640",18.5
"5641",19.5
"5642",20.5
"5643",21.5
"5644",21.5
"5645",21.5
"5646",21.5
"5647",21.5
"5648",21
"5649",21
"5650",21
"5651",21
"5652",21
"5653",21.5
"5654",21.5
"5655",21.5
"5656",22
"5657",22
"5658",22
"5659",22
"5660",22
"5661",22
"5662",22
"5663",22.5
"5664",22.5
"5665",22.5
"5666",22.5
"5667",22.5
"5668",22.5
"5669",22.5
"5670",23
"5671",23
"5672",23
"5673",23
"5674",23
"5675",22.5
"5676",22.5
"5677",23
"5678",23
"5679",23.5
"5680",23
"5681",23
"5682",23
"5683",22.5
"5684",22.5
"5685",22.5
"5686",22
"5687",22
"5688",22
"5689",21.5
"5690",22
"5691",21.5
"5692",21.5
"5693",21.5
"5694",21.5
"5695",21
"5696",21
"5697",21
"5698",21
"5699",21
"5700",21
"5701",21
"5702",21
"5703",20.5
"5704",21
"5705",20.5
"5706",20.5
"5707",20.5
"5708",20.5
"5709",20
"5710",20
"5711",20
"5712",20
"5713",20
"5714",20
"5715",20
"5716",20
"5717",19.5
"5718",19.5
"5719",19.5
"5720",19.5
"5721",19.5
"5722",19.5
"5723",19.5
"5724",19.5
"5725",19
"5726",19
"5727",19.5
"5728",19
"5729",19
"5730",19
"5731",19
"5732",18.5
"5733",18.5
"5734",18.5
"5735",18.5
"5736",19
"5737",21
"5738",22
"5739",23.5
"5740",22.5
"5741",22.5
"5742",22
"5743",22
"5744",22
"5745",22
"5746",21.5
"5747",21.5
"5748",22
"5749",22
"5750",22.5
"5751",22.5
"5752",22.5
"5753",23
"5754",23
"5755",23.5
"5756",23.5
"5757",23.5
"5758",23.5
"5759",23.5
"5760",23.5
"5761",23.5
"5762",23.5
"5763",24
"5764",24
"5765",23.5
"5766",23
"5767",23
"5768",23
"5769",22.5
"5770",22.5
"5771",22
"5772",22
"5773",22
"5774",21.5
"5775",21.5
"5776",21.5
"5777",21.5
"5778",21.5
"5779",21
"5780",21
"5781",21
"5782",21
"5783",21
"5784",21
"5785",21
"5786",21
"5787",21
"5788",21
"5789",21
"5790",21
"5791",21
"5792",21
"5793",20.5
"5794",20.5
"5795",20.5
"5796",20.5
"5797",20.5
"5798",20.5
"5799",20.5
"5800",20.5
"5801",20.5
"5802",20.5
"5803",20.5
"5804",20.5
"5805",20
"5806",20
"5807",20
"5808",20
"5809",20
"5810",20
"5811",20
"5812",20
"5813",20
"5814",20
"5815",20
"5816",20
"5817",19.5
"5818",19.5
"5819",19.5
"5820",19.5
"5821",19.5
"5822",19.5
"5823",19.5
"5824",19.5
"5825",19.5
"5826",19.5
"5827",19
"5828",19
"5829",19
"5830",19
"5831",19
"5832",19
"5833",19
"5834",19
"5835",19
"5836",19
"5837",19
"5838",19
"5839",19
"5840",19
"5841",19
"5842",19
"5843",19
"5844",19
"5845",19
"5846",19
"5847",19
"5848",19
"5849",19
"5850",19.5
"5851",19.5
"5852",19.5
"5853",19.5
"5854",20
"5855",20
"5856",20
"5857",20
"5858",20
"5859",20
"5860",20
"5861",20
"5862",20
"5863",20.5
"5864",20.5
"5865",20
"5866",20.5
"5867",20.5
"5868",20.5
"5869",20.5
"5870",20.5
"5871",20
"5872",20.5
"5873",20
"5874",20
"5875",20
"5876",20
"5877",20
"5878",20
"5879",20
"5880",20
"5881",20
"5882",19.5
"5883",20
"5884",19.5
"5885",19.5
"5886",19.5
"5887",19.5
"5888",19.5
"5889",19.5
"5890",19.5
"5891",19.5
"5892",19
"5893",19
"5894",19
"5895",19
"5896",19
"5897",19
"5898",19
"5899",19
"5900",19
"5901",19
"5902",18.5
"5903",19
"5904",18.5
"5905",18.5
"5906",18.5
"5907",18.5
"5908",18.5
"5909",18.5
"5910",18.5
"5911",18.5
"5912",18.5
"5913",18.5
"5914",18.5
"5915",18.5
"5916",18
"5917",18.5
"5918",18
"5919",18
"5920",18
"5921",18
"5922",18
"5923",18
"5924",18
"5925",18
"5926",17.5
"5927",18
"5928",18
"5929",17.5
"5930",17.5
"5931",17.5
"5932",18
"5933",18
"5934",17.5
"5935",17.5
"5936",18
"5937",18
"5938",18
"5939",18
"5940",18
"5941",18
"5942",18
"5943",18
"5944",18.5
"5945",18.5
"5946",18.5
"5947",18.5
"5948",19
"5949",19
"5950",19
"5951",19
"5952",19.5
"5953",19.5
"5954",19.5
"5955",19.5
"5956",20
"5957",20
"5958",20.5
"5959",20.5
"5960",21
"5961",20.5
"5962",20.5
"5963",20.5
"5964",20.5
"5965",20.5
"5966",20.5
"5967",20.5
"5968",20.5
"5969",20.5
"5970",20
"5971",20
"5972",19.5
"5973",19.5
"5974",19.5
"5975",19.5
"5976",19.5
"5977",19
"5978",19
"5979",19
"5980",19
"5981",19
"5982",18.5
"5983",18.5
"5984",18.5
"5985",18.5
"5986",18
"5987",18
"5988",18
"5989",18
"5990",18
"5991",18
"5992",17.5
"5993",17.5
"5994",17.5
"5995",17.5
"5996",17.5
"5997",17.5
"5998",17
"5999",17
"6000",17
"6001",17
"6002",17
"6003",17
"6004",17
"6005",17
"6006",17
"6007",17
"6008",17
"6009",17
"6010",16.5
"6011",16.5
"6012",17
"6013",16.5
"6014",16.5
"6015",16.5
"6016",16.5
"6017",16.5
"6018",16.5
"6019",16.5
"6020",16.5
"6021",16.5
"6022",16.5
"6023",16
"6024",17
"6025",19
"6026",20.5
"6027",22
"6028",22
"6029",21
"6030",20
"6031",20
"6032",20
"6033",19.5
"6034",19.5
"6035",19.5
"6036",20
"6037",20.5
"6038",21
"6039",21
"6040",21
"6041",21.5
"6042",22
"6043",22
"6044",22
"6045",22.5
"6046",22.5
"6047",22.5
"6048",22.5
"6049",23
"6050",23
"6051",23
"6052",23
"6053",23
"6054",23.5
"6055",23.5
"6056",23.5
"6057",24
"6058",24
"6059",24
"6060",24
"6061",24
"6062",24
"6063",24
"6064",24
"6065",24
"6066",24
"6067",24
"6068",24
"6069",24
"6070",24
"6071",24
"6072",23.9
"6073",23.9
"6074",23.9
"6075",23.9
"6076",23.9
"6077",23.9
"6078",23.9
"6079",23.9
"6080",23.9
"6081",23.9
"6082",23.9
"6083",23.9
"6084",23.9
"6085",23.9
"6086",23.9
"6087",23.9
"6088",23.9
"6089",23.9
"6090",23.9
"6091",23.9
"6092",23.9
"6093",23.9
"6094",23.9
"6095",23.9
"6096",23.9
"6097",23.9
"6098",23.8
"6099",23.8
"6100",23.8
"6101",23.8
"6102",23.8
"6103",23.8
"6104",23.8
"6105",23.8
"6106",23.8
"6107",23.8
"6108",23.8
"6109",23.8
"6110",23.8
"6111",23.8
"6112",23.8
"6113",23.8
"6114",23.8
"6115",23.8
"6116",23.8
"6117",23.8
"6118",23.8
"6119",23.8
"6120",23.8
"6121",23.8
"6122",23.8
"6123",23.8
"6124",23.7
"6125",23.7
"6126",23.7
"6127",23.7
"6128",23.7
"6129",23.7
"6130",23.7
"6131",23.7
"6132",23.7
"6133",23.7
"6134",23.7
"6135",23.7
"6136",23.7
"6137",23.7
"6138",23.7
"6139",23.7
"6140",23.7
"6141",23.7
"6142",23.7
"6143",23.7
"6144",23.7
"6145",23.7
"6146",23.7
"6147",23.7
"6148",23.7
"6149",23.7
"6150",23.6
"6151",23.6
"6152",23.6
"6153",23.6
"6154",23.6
"6155",23.6
"6156",23.6
"6157",23.6
"6158",23.6
"6159",23.6
"6160",23.6
"6161",23.6
"6162",23.6
"6163",23.6
"6164",23.6
"6165",23.6
"6166",23.6
"6167",23.6
"6168",23.6
"6169",23.6
"6170",23.6
"6171",23.6
"6172",23.6
"6173",23.6
"6174",23.6
"6175",23.6
"6176",23.5
"6177",23.5
"6178",23.5
"6179",23.5
"6180",23.5
"6181",23.5
"6182",23.5
"6183",23.5
"6184",23.5
"6185",23.5
"6186",23.5
"6187",23.5
"6188",23.5
"6189",23.5
"6190",23.5
"6191",23.5
"6192",23.5
"6193",23.5
"6194",23.5
"6195",23.5
"6196",23.5
"6197",23.5
"6198",23.5
"6199",23.5
"6200",23.5
"6201",23.5
"6202",23.5
"6203",23.4
"6204",23.4
"6205",23.4
"6206",23.4
"6207",23.4
"6208",23.4
"6209",23.4
"6210",23.4
"6211",23.4
"6212",23.4
"6213",23.4
"6214",23.4
"6215",23.4
"6216",23.4
"6217",23.4
"6218",23.4
"6219",23.4
"6220",23.4
"6221",23.4
"6222",23.4
"6223",23.4
"6224",23.4
"6225",23.4
"6226",23.4
"6227",23.4
"6228",23.4
"6229",23.3
"6230",23.3
"6231",23.3
"6232",23.3
"6233",23.3
"6234",23.3
"6235",23.3
"6236",23.3
"6237",23.3
"6238",23.3
"6239",23.3
"6240",23.3
"6241",23.3
"6242",23.3
"6243",23.3
"6244",23.3
"6245",23.3
"6246",23.3
"6247",23.3
"6248",23.3
"6249",23.3
"6250",23.3
"6251",23.3
"6252",23.3
"6253",23.3
"6254",23.3
"6255",23.2
"6256",23.2
"6257",23.2
"6258",23.2
"6259",23.2
"6260",23.2
"6261",23.2
"6262",23.2
"6263",23.2
"6264",23.2
"6265",23.2
"6266",23.2
"6267",23.2
"6268",23.2
"6269",23.2
"6270",23.2
"6271",23.2
"6272",23.2
"6273",23.2
"6274",23.2
"6275",23.2
"6276",23.2
"6277",23.2
"6278",23.2
"6279",23.2
"6280",23.2
"6281",23.1
"6282",23.1
"6283",23.1
"6284",23.1
"6285",23.1
"6286",23.1
"6287",23.1
"6288",23.1
"6289",23.1
"6290",23.1
"6291",23.1
"6292",23.1
"6293",23.1
"6294",23.1
"6295",23.1
"6296",23.1
"6297",23.1
"6298",23.1
"6299",23.1
"6300",23.1
"6301",23.1
"6302",23.1
"6303",23.1
"6304",23.1
"6305",23.1
"6306",23.1
"6307",23
"6308",23
"6309",23
"6310",23
"6311",23
"6312",23
"6313",23
"6314",23
"6315",23
"6316",23
"6317",23
"6318",23
"6319",23
"6320",23
"6321",23
"6322",23
"6323",23
"6324",23
"6325",23
"6326",23
"6327",23
"6328",23
"6329",23
"6330",23
"6331",23
"6332",23
"6333",23
"6334",22.9
"6335",22.9
"6336",22.9
"6337",22.9
"6338",22.9
"6339",22.9
"6340",22.9
"6341",22.9
"6342",22.9
"6343",22.9
"6344",22.9
"6345",22.9
"6346",22.9
"6347",22.9
"6348",22.9
"6349",22.9
"6350",22.9
"6351",22.9
"6352",22.9
"6353",22.9
"6354",22.9
"6355",22.9
"6356",22.9
"6357",22.9
"6358",22.9
"6359",22.9
"6360",22.8
"6361",22.8
"6362",22.8
"6363",22.8
"6364",22.8
"6365",22.8
"6366",22.8
"6367",22.8
"6368",22.8
"6369",22.8
"6370",22.8
"6371",22.8
"6372",22.8
"6373",22.8
"6374",22.8
"6375",22.8
"6376",22.8
"6377",22.8
"6378",22.8
"6379",22.8
"6380",22.8
"6381",22.8
"6382",22.8
"6383",22.8
"6384",22.8
"6385",22.8
"6386",22.7
"6387",22.7
"6388",22.7
"6389",22.7
"6390",22.7
"6391",22.7
"6392",22.7
"6393",22.7
"6394",22.7
"6395",22.7
"6396",22.7
"6397",22.7
"6398",22.7
"6399",22.7
"6400",22.7
"6401",22.7
"6402",22.7
"6403",22.7
"6404",22.7
"6405",22.7
"6406",22.7
"6407",22.7
"6408",22.7
"6409",22.7
"6410",22.7
"6411",22.7
"6412",22.6
"6413",22.6
"6414",22.6
"6415",22.6
"6416",22.6
"6417",22.6
"6418",22.6
"6419",22.6
"6420",22.6
"6421",22.6
"6422",22.6
"6423",22.6
"6424",22.6
"6425",22.6
"6426",22.6
"6427",22.6
"6428",22.6
"6429",22.6
"6430",22.6
"6431",22.6
"6432",22.6
"6433",22.6
"6434",22.6
"6435",22.6
"6436",22.6
"6437",22.6
"6438",22.5
"6439",22.5
"6440",22.5
"6441",22.5
"6442",22.5
"6443",22.5
"6444",22.5
"6445",22.5
"6446",22.5
"6447",22.5
"6448",22.5
"6449",22.5
"6450",22.5
"6451",22.5
"6452",22.5
"6453",22.5
"6454",22.5
"6455",22.5
"6456",22.5
"6457",22.5
"6458",22.5
"6459",22.5
"6460",22.5
"6461",22.5
"6462",22.5
"6463",22.5
"6464",22.5
"6465",22.4
"6466",22.4
"6467",22.4
"6468",22.4
"6469",22.4
"6470",22.4
"6471",22.4
"6472",22.4
"6473",22.4
"6474",22.4
"6475",22.4
"6476",22.4
"6477",22.4
"6478",22.4
"6479",22.4
"6480",22.4
"6481",22.4
"6482",22.4
"6483",22.4
"6484",22.4
"6485",22.4
"6486",22.4
"6487",22.4
"6488",22.4
"6489",22.4
"6490",22.4
"6491",22.3
"6492",22.3
"6493",22.3
"6494",22.3
"6495",22.3
"6496",22.3
"6497",22.3
"6498",22.3
"6499",22.3
"6500",22.3
"6501",22.3
"6502",22.3
"6503",22.3
"6504",22.3
"6505",22.3
"6506",22.3
"6507",22.3
"6508",22.3
"6509",22.3
"6510",22.3
"6511",22.3
"6512",22.3
"6513",22.3
"6514",22.3
"6515",22.3
"6516",22.3
"6517",22.2
"6518",22.2
"6519",22.2
"6520",22.2
"6521",22.2
"6522",22.2
"6523",22.2
"6524",22.2
"6525",22.2
"6526",22.2
"6527",22.2
"6528",22.2
"6529",22.2
"6530",22.2
"6531",22.2
"6532",22.2
"6533",22.2
"6534",22.2
"6535",22.2
"6536",22.2
"6537",22.2
"6538",22.2
"6539",22.2
"6540",22.2
"6541",22.2
"6542",22.2
"6543",22.1
"6544",22.1
"6545",22.1
"6546",22.1
"6547",22.1
"6548",22.1
"6549",22.1
"6550",22.1
"6551",22.1
"6552",22.1
"6553",22.1
"6554",22.1
"6555",22.1
"6556",22.1
"6557",22.1
"6558",22.1
"6559",22.1
"6560",22.1
"6561",22.1
"6562",22.1
"6563",22.1
"6564",22.1
"6565",22.1
"6566",22.1
"6567",22.1
"6568",22.1
"6569",22
"6570",22
"6571",22
"6572",22
"6573",22
"6574",22
"6575",22
"6576",22
"6577",22
"6578",22
"6579",22
"6580",22
"6581",22
"6582",22
"6583",22
"6584",22
"6585",22
"6586",22
"6587",22
"6588",22
"6589",22
"6590",22
"6591",22
"6592",22
"6593",22
"6594",22
"6595",22
"6596",21.9
"6597",21.9
"6598",21.9
"6599",21.9
"6600",21.9
"6601",21.9
"6602",21.9
"6603",21.9
"6604",21.9
"6605",21.9
"6606",21.9
"6607",21.9
"6608",21.9
"6609",21.9
"6610",21.9
"6611",21.9
"6612",21.9
"6613",21.9
"6614",21.9
"6615",21.9
"6616",21.9
"6617",21.9
"6618",21.9
"6619",21.9
"6620",21.9
"6621",21.9
"6622",21.8
"6623",21.8
"6624",21.8
"6625",21.8
"6626",21.8
"6627",21.8
"6628",21.8
"6629",21.8
"6630",21.8
"6631",21.8
"6632",21.8
"6633",21.8
"6634",21.8
"6635",21.8
"6636",21.8
"6637",21.8
"6638",21.8
"6639",21.8
"6640",21.8
"6641",21.8
"6642",21.8
"6643",21.8
"6644",21.8
"6645",21.8
"6646",21.8
"6647",21.8
"6648",21.7
"6649",21.7
"6650",21.7
"6651",21.7
"6652",21.7
"6653",21.7
"6654",21.7
"6655",21.7
"6656",21.7
"6657",21.7
"6658",21.7
"6659",21.7
"6660",21.7
"6661",21.7
"6662",21.7
"6663",21.7
"6664",21.7
"6665",21.7
"6666",21.7
"6667",21.7
"6668",21.7
"6669",21.7
"6670",21.7
"6671",21.7
"6672",21.7
"6673",21.7
"6674",21.6
"6675",21.6
"6676",21.6
"6677",21.6
"6678",21.6
"6679",21.6
"6680",21.6
"6681",21.6
"6682",21.6
"6683",21.6
"6684",21.6
"6685",21.6
"6686",21.6
"6687",21.6
"6688",21.6
"6689",21.6
"6690",21.6
"6691",21.6
"6692",21.6
"6693",21.6
"6694",21.6
"6695",21.6
"6696",21.6
"6697",21.6
"6698",21.6
"6699",21.6
"6700",21.5
"6701",21.5
"6702",21.5
"6703",21.5
"6704",21.5
"6705",21.5
"6706",21.5
"6707",21.5
"6708",21.5
"6709",21.5
"6710",21.5
"6711",21.5
"6712",21.5
"6713",21.5
"6714",21.5
"6715",21.5
"6716",21.5
"6717",21.5
"6718",21.5
"6719",22
"6720",22
"6721",22
"6722",22
"6723",22
"6724",22
"6725",22.5
"6726",22.5
"6727",22.5
"6728",22.5
"6729",22.5
"6730",22
"6731",22
"6732",22
"6733",21.5
"6734",22
"6735",21.5
"6736",21.5
"6737",21.5
"6738",21.5
"6739",21.5
"6740",21.5
"6741",21.5
"6742",21
"6743",21
"6744",21
"6745",21
"6746",21
"6747",21
"6748",21
"6749",20.5
"6750",20.5
"6751",20.5
"6752",20.5
"6753",20.5
"6754",20.5
"6755",20.5
"6756",20
"6757",20
"6758",20
"6759",20
"6760",20
"6761",19.5
"6762",20
"6763",19.5
"6764",19.5
"6765",19.5
"6766",19.5
"6767",19.5
"6768",19.5
"6769",19.5
"6770",19.5
"6771",19.5
"6772",19
"6773",19
"6774",19
"6775",19
"6776",19
"6777",19
"6778",19
"6779",19
"6780",19
"6781",19
"6782",19
"6783",19
"6784",18.5
"6785",18.5
"6786",18.5
"6787",18.5
"6788",18.5
"6789",18.5
"6790",18
"6791",18
"6792",18.5
"6793",20.5
"6794",22
"6795",23
"6796",22.5
"6797",21.5
"6798",21
"6799",21
"6800",21
"6801",20.5
"6802",20.5
"6803",20
"6804",20
"6805",20
"6806",21
"6807",22.5
"6808",22.5
"6809",22.5
"6810",22.5
"6811",22.5
"6812",22.5
"6813",22.5
"6814",22.5
"6815",22.5
"6816",22.5
"6817",22.5
"6818",22.5
"6819",22.5
"6820",22.4
"6821",22.4
"6822",22.4
"6823",22.4
"6824",22.4
"6825",22.4
"6826",22.4
"6827",22.4
"6828",22.4
"6829",22.4
"6830",22.4
"6831",22.4
"6832",22.4
"6833",22.4
"6834",22.4
"6835",22.4
"6836",22.4
"6837",22.4
"6838",22.4
"6839",22.4
"6840",22.4
"6841",22.4
"6842",22.4
"6843",22.4
"6844",22.3
"6845",22.3
"6846",22.3
"6847",22.3
"6848",22.3
"6849",22.3
"6850",22.3
"6851",22.3
"6852",22.3
"6853",22.3
"6854",22.3
"6855",22.3
"6856",22.3
"6857",22.3
"6858",22.3
"6859",22.3
"6860",22.3
"6861",22.3
"6862",22.3
"6863",22.3
"6864",22.3
"6865",22.3
"6866",22.3
"6867",22.3
"6868",22.2
"6869",22.2
"6870",22.2
"6871",22.2
"6872",22.2
"6873",22.2
"6874",22.2
"6875",22.2
"6876",22.2
"6877",22.2
"6878",22.2
"6879",22.2
"6880",22.2
"6881",22.2
"6882",22.2
"6883",22.2
"6884",22.2
"6885",22.2
"6886",22.2
"6887",22.2
"6888",22.2
"6889",22.2
"6890",22.2
"6891",22.2
"6892",22.1
"6893",22.1
"6894",22.1
"6895",22.1
"6896",22.1
"6897",22.1
"6898",22.1
"6899",22.1
"6900",22.1
"6901",22.1
"6902",22.1
"6903",22.1
"6904",22.1
"6905",22.1
"6906",22.1
"6907",22.1
"6908",22.1
"6909",22.1
"6910",22.1
"6911",22.1
"6912",22.1
"6913",22.1
"6914",22.1
"6915",22.1
"6916",22
"6917",22
"6918",22
"6919",22
"6920",22
"6921",22
"6922",22
"6923",22
"6924",22
"6925",22
"6926",22
"6927",22
"6928",22
"6929",22
"6930",22
"6931",22
"6932",21.5
"6933",21.5
"6934",21.5
"6935",21.5
"6936",21.5
"6937",21
"6938",21
"6939",21
"6940",21
"6941",21
"6942",21
"6943",21
"6944",21
"6945",20.5
"6946",21
"6947",20.5
"6948",20.5
"6949",20.5
"6950",20.5
"6951",20.5
"6952",20
"6953",20.5
"6954",20.5
"6955",20
"6956",20
"6957",20
"6958",20
"6959",20
"6960",19.5
"6961",20
"6962",19.5
"6963",19.5
"6964",19.5
"6965",19.5
"6966",19.5
"6967",19.5
"6968",19.5
"6969",19
"6970",19
"6971",19
"6972",19
"6973",19
"6974",19
"6975",19
"6976",19
"6977",19
"6978",18.5
"6979",18.5
"6980",18.5
"6981",18.5
"6982",18.5
"6983",18.5
"6984",19
"6985",21
"6986",22.5
"6987",22.5
"6988",21.5
"6989",21.5
"6990",21
"6991",21
"6992",21
"6993",21
"6994",21.5
"6995",21.5
"6996",21.5
"6997",21.5
"6998",21.5
"6999",22
"7000",21.5
"7001",22
"7002",21.5
"7003",21.5
"7004",21.5
"7005",22
"7006",22
"7007",22.5
"7008",22.5
"7009",22.5
"7010",22.5
"7011",22.5
"7012",22.5
"7013",22.5
"7014",22.5
"7015",22.5
"7016",22
"7017",22
"7018",22
"7019",22
"7020",22
"7021",22
"7022",22
"7023",22
"7024",22
"7025",22
"7026",22
"7027",22
"7028",22
"7029",22
"7030",21.5
"7031",21.5
"7032",21.5
"7033",21.5
"7034",21.5
"7035",21.5
"7036",21.5
"7037",21
"7038",21
"7039",21
"7040",21
"7041",21
"7042",21
"7043",21
"7044",21
"7045",20.5
"7046",21
"7047",20.5
"7048",20.5
"7049",20.5
"7050",20.5
"7051",20.5
"7052",20.5
"7053",20.5
"7054",20.5
"7055",20
"7056",20.5
"7057",20
"7058",20
"7059",20
"7060",20
"7061",20
"7062",20
"7063",20
"7064",20
"7065",19.5
"7066",20
"7067",19.5
"7068",19.5
"7069",19.5
"7070",19.5
"7071",19.5
"7072",19.5
"7073",19.5
"7074",19.5
"7075",19.5
"7076",19
"7077",19
"7078",19
"7079",19
"7080",19.5
"7081",21.5
"7082",22.5
"7083",22.5
"7084",22
"7085",21.5
"7086",21
"7087",21
"7088",21
"7089",21.5
"7090",22
"7091",21.5
"7092",22
"7093",22
"7094",22
"7095",22
"7096",22.5
"7097",22.5
"7098",22.5
"7099",23
"7100",23
"7101",23
"7102",23
"7103",23
"7104",23
"7105",23.5
"7106",23.5
"7107",23.5
"7108",23.5
"7109",23.5
"7110",23.5
"7111",23.5
"7112",23.5
"7113",23
"7114",23
"7115",23
"7116",22.5
"7117",22.5
"7118",22.5
"7119",22.5
"7120",22.5
"7121",22.5
"7122",22.5
"7123",22.5
"7124",22.5
"7125",22
"7126",22
"7127",22
"7128",22
"7129",21.5
"7130",21.5
"7131",21.5
"7132",21.5
"7133",21.5
"7134",21
"7135",21
"7136",21
"7137",21
"7138",21
"7139",21
