"","x"
"529",18
"530",17.5
"531",17.5
"532",17.5
"533",17.5
"534",17.5
"535",17.5
"536",17
"537",17.5
"538",17
"539",17
"540",17
"541",17
"542",17
"543",17
"544",17
"545",17
"546",17
"547",17
"548",17
"549",16.5
"550",16.5
"551",16.5
"552",16.5
"553",16.5
"554",16.5
"555",16.6
"556",16.6
"557",16.6
"558",16.7
"559",16.7
"560",16.8
"561",16.8
"562",16.8
"563",16.9
"564",16.9
"565",16.9
"566",17
"567",17
"568",17.1
"569",17.1
"570",17.1
"571",17.2
"572",17.2
"573",17.2
"574",17.3
"575",17.3
"576",17.4
"577",17.4
"578",17.4
"579",17.5
"580",17.5
"581",17.5
"582",17.6
"583",17.6
"584",17.7
"585",17.7
"586",17.7
"587",17.8
"588",17.8
"589",17.8
"590",17.9
"591",17.9
"592",18
"593",18
"594",18
"595",18.1
"596",18.1
"597",18.1
"598",18.2
"599",18.2
"600",18.2
"601",18.3
"602",18.3
"603",18.4
"604",18.4
"605",18.4
"606",18.5
"607",18.5
"608",18.5
"609",18.6
"610",18.6
"611",18.7
"612",18.7
"613",18.7
"614",18.8
"615",18.8
"616",18.8
"617",18.9
"618",18.9
"619",19
"620",19
"621",19
"622",19.1
"623",19.1
"624",19.1
"625",19.2
"626",19.2
"627",19.3
"628",19.3
"629",19.3
"630",19.4
"631",19.4
"632",19.4
"633",19.5
"634",19.5
"635",19.5
"636",19.6
"637",19.6
"638",19.7
"639",19.7
"640",19.7
"641",19.8
"642",19.8
"643",19.8
"644",19.9
"645",19.9
"646",20
"647",20
"648",20
"649",20.1
"650",20.1
"651",20.1
"652",20.2
"653",20.2
"654",20.3
"655",20.3
"656",20.3
"657",20.4
"658",20.4
"659",20.4
"660",20.5
"661",20.5
"662",20.6
"663",20.6
"664",20.6
"665",20.7
"666",20.7
"667",20.7
"668",20.8
"669",20.8
"670",20.9
"671",20.9
"672",20.9
"673",21
"674",21
"675",21.5
"676",21.5
"677",21.5
"678",21
"679",21.5
"680",21.5
"681",21.5
"682",21.5
"683",21.5
"684",21.5
"685",21.5
"686",21.5
"687",21.5
"688",21.5
"689",21.5
"690",21.5
"691",21.5
"692",21.5
"693",21.5
"694",21.5
"695",21.5
"696",21.5
"697",21.5
"698",21.5
"699",21.5
"700",21.5
"701",21.5
"702",21
"703",21
"704",21
"705",21
"706",21
"707",21
"708",20.5
"709",20.5
"710",20.5
"711",20.5
"712",20.5
"713",20.5
"714",20
"715",20
"716",20
"717",20
"718",20
"719",20
"720",20
"721",20
"722",19.5
"723",20
"724",19.5
"725",19.5
"726",19.5
"727",19.5
"728",19.5
"729",19.5
"730",19.5
"731",19
"732",19
"733",19
"734",19
"735",19
"736",19
"737",19
"738",19
"739",19
"740",19
"741",19
"742",19
"743",19
"744",19
"745",21.5
"746",22.5
"747",22
"748",21.5
"749",21.5
"750",21
"751",21
"752",21
"753",21
"754",21
"755",21.5
"756",21.5
"757",21.5
"758",21.5
"759",21.5
"760",22
"761",22
"762",22.5
"763",22.5
"764",23
"765",23.5
"766",23.5
"767",23.5
"768",23.5
"769",23.5
"770",23.5
"771",23.5
"772",23.5
"773",24
"774",24
"775",24
"776",23.5
"777",23.5
"778",23
"779",22.5
"780",22.5
"781",22.5
"782",22
"783",22
"784",21.5
"785",21.5
"786",21.5
"787",21.5
"788",21.5
"789",21.5
"790",21.5
"791",21
"792",21.5
"793",21.5
"794",21
"795",21
"796",21
"797",21
"798",21
"799",21
"800",21
"801",21
"802",21
"803",21
"804",21
"805",21
"806",21
"807",21
"808",21
"809",20.5
"810",20.5
"811",20.5
"812",20.5
"813",20.5
"814",20.5
"815",20.5
"816",20.5
"817",20.5
"818",20.5
"819",20.5
"820",20.5
"821",20
"822",20.5
"823",20
"824",20
"825",20.5
"826",20
"827",20
"828",20
"829",20
"830",20
"831",20
"832",20
"833",20
"834",20
"835",20
"836",20
"837",19.5
"838",19.5
"839",19.5
"840",20
"841",22
"842",22.5
"843",22
"844",21.5
"845",21
"846",21
"847",21
"848",21
"849",20.5
"850",20.5
"851",21
"852",21
"853",21.5
"854",21.5
"855",22
"856",21.5
"857",22
"858",22
"859",22.5
"860",22.5
"861",22.5
"862",22.5
"863",23
"864",23
"865",23
"866",23.5
"867",23
"868",23
"869",23.5
"870",22.5
"871",22.5
"872",23
"873",23.5
"874",24
"875",23.5
"876",23.5
"877",23
"878",23
"879",22.5
"880",22.5
"881",22
"882",22
"883",21.5
"884",21.5
"885",21.5
"886",21.5
"887",21.5
"888",21.5
"889",21.5
"890",21
"891",21
"892",21
"893",21
"894",21
"895",21
"896",21
"897",21
"898",21
"899",21
"900",21
"901",20.5
"902",21
"903",20.5
"904",20.5
"905",20.5
"906",20.5
"907",20.5
"908",20.5
"909",20.5
"910",20
"911",20
"912",20
"913",20
"914",20
"915",20
"916",20
"917",19.5
"918",19.5
"919",19.5
"920",19.5
"921",19.5
"922",19.5
"923",19
"924",19.5
"925",19
"926",19
"927",19
"928",19
"929",19
"930",19
"931",18.5
"932",19
"933",18.5
"934",18.5
"935",18.5
"936",19
"937",21
"938",22
"939",22.5
"940",22.5
"941",22
"942",22.5
"943",22.5
"944",22
"945",21.5
"946",21.5
"947",22
"948",22
"949",22.5
"950",22.5
"951",23
"952",23
"953",23
"954",23.5
"955",23.5
"956",24
"957",24
"958",24
"959",24
"960",24
"961",24
"962",24
"963",24
"964",24
"965",23.5
"966",24
"967",23.5
"968",23.5
"969",23
"970",23
"971",23
"972",23
"973",22.5
"974",22.5
"975",22.5
"976",22
"977",22
"978",22
"979",21.5
"980",21.5
"981",21.5
"982",21.5
"983",21.5
"984",21.5
"985",21.5
"986",21
"987",21
"988",21
"989",21
"990",21
"991",21
"992",21
"993",21
"994",21
"995",21
"996",20.5
"997",20.5
"998",20.5
"999",20.5
"1000",20.5
"1001",20.5
"1002",20
"1003",20
"1004",20
"1005",20
"1006",20
"1007",20
"1008",20
"1009",20
"1010",20
"1011",20
"1012",19.5
"1013",20
"1014",19.5
"1015",19.5
"1016",19.5
"1017",19.5
"1018",19.5
"1019",19.5
"1020",19.5
"1021",19.5
"1022",19.5
"1023",19
"1024",19.5
"1025",19.5
"1026",19
"1027",19
"1028",19
"1029",19
"1030",19
"1031",18.5
"1032",19.5
"1033",21
"1034",22.5
"1035",23
"1036",22
"1037",21.5
"1038",21.5
"1039",21.5
"1040",21
"1041",21.5
"1042",21.5
"1043",21
"1044",21
"1045",21
"1046",21
"1047",21
"1048",21
"1049",21
"1050",21.5
"1051",21.5
"1052",22
"1053",22
"1054",22.5
"1055",22.5
"1056",23
"1057",23.5
"1058",23.5
"1059",23.5
"1060",22.5
"1061",22.5
"1062",21.5
"1063",22
"1064",21.5
"1065",21.5
"1066",21
"1067",21
"1068",22
"1069",22
"1070",21.5
"1071",21.5
"1072",22
"1073",21.5
"1074",21.5
"1075",21.5
"1076",21.5
"1077",21
"1078",21
"1079",21
"1080",21
"1081",21
"1082",21
"1083",21
"1084",21
"1085",21
"1086",21
"1087",21
"1088",21
"1089",20.5
"1090",20.5
"1091",20.5
"1092",20.5
"1093",20.5
"1094",20.5
"1095",20.5
"1096",20.5
"1097",20.5
"1098",20.5
"1099",20
"1100",20
"1101",20
"1102",20
"1103",20
"1104",20
"1105",19.5
"1106",20
"1107",19.5
"1108",19.5
"1109",19.5
"1110",19.5
"1111",19.5
"1112",19.5
"1113",19.5
"1114",19.5
"1115",19.5
"1116",19.5
"1117",19
"1118",19
"1119",19
"1120",19
"1121",19
"1122",19
"1123",18.5
"1124",19
"1125",19
"1126",18.5
"1127",18.5
"1128",18.5
"1129",18.5
"1130",18.5
"1131",18.5
"1132",18.5
"1133",18.5
"1134",18.5
"1135",18.5
"1136",18.5
"1137",18.5
"1138",18.5
"1139",18.5
"1140",18.5
"1141",18.5
"1142",18.5
"1143",18.5
"1144",18.5
"1145",18.5
"1146",18.5
"1147",19
"1148",19
"1149",19
"1150",19
"1151",19
"1152",19.5
"1153",19
"1154",19
"1155",19
"1156",19
"1157",19
"1158",19
"1159",19.5
"1160",19
"1161",19
"1162",19
"1163",19
"1164",19
"1165",19
"1166",19
"1167",19
"1168",19
"1169",19
"1170",19
"1171",19
"1172",19
"1173",19
"1174",19
"1175",18.5
"1176",18.5
"1177",18.5
"1178",18.5
"1179",18.5
"1180",18.5
"1181",18.5
"1182",18.5
"1183",18
"1184",18.5
"1185",18.5
"1186",18.5
"1187",18
"1188",18
"1189",18
"1190",18
"1191",18
"1192",18
"1193",18
"1194",18
"1195",18
"1196",18
"1197",18
"1198",18
"1199",17.5
"1200",18
"1201",18
"1202",17.5
"1203",18
"1204",17.5
"1205",17.5
"1206",17.5
"1207",17.5
"1208",17.5
"1209",17.5
"1210",17.5
"1211",17.5
"1212",17.5
"1213",17.5
"1214",17.5
"1215",17.5
"1216",17.5
"1217",17.5
"1218",17.5
"1219",17
"1220",17
"1221",17
"1222",17.5
"1223",17.5
"1224",17
"1225",17
"1226",17
"1227",17
"1228",17
"1229",17
"1230",17.5
"1231",18
"1232",17.5
"1233",17.5
"1234",17.5
"1235",17.5
"1236",17.5
"1237",17.5
"1238",17.5
"1239",18
"1240",17.5
"1241",18
"1242",18
"1243",18
"1244",18
"1245",18
